cell_id,meeting_id,asr,osd,resolver,separation,language,asr_device,cer_concat,cer_low,cer_high,wer_concat,ref_chars,hyp_chars,subs,ins,del,spk_best_mapping_acc,spk_known_coverage,spk_unknown_coverage,spk_ref_n,spk_hyp_n,routing_accuracy,routing_f1,routing_support,overlap_recall,overlap_precision,overlap_f1,gt_overlap_s,hyp_overlap_s,events_count,llm_resolved_rate,fallback_resolved_rate,evidence_support,wall_time_s,rtf,audio_duration_s,exit_code
asr=faster-whisper_osd=energy_fallback_resolver=openai_sep=sepformer,R8008_M8013_MS807,faster-whisper,energy_fallback,openai,sepformer,zh,cuda,0.6425136978642514,0.5883931566588393,0.9351448059935145,,8943,7758,3373,594,1779,0.6022304832713755,0.8307,0.0,4,3,0.5539033457249071,0.39999999999999997,538,0.2388175719262013,0.47799282136031906,0.31850287346432793,310.0399999999972,154.9039999999998,538,0.0,0.21189591078066913,538,230.7127640247345,0.10320456097980063,2235.49,0
asr=faster-whisper_osd=energy_fallback_resolver=openai_sep=sepformer,R8009_M8019_MS810,faster-whisper,energy_fallback,openai,sepformer,zh,cuda,0.33671641791044776,0.3392238805970149,0.975044776119403,,8375,7104,1247,151,1422,0.8900523560209425,0.9872,0.0024,2,4,0.7696335078534031,0.24137931034482757,382,0.0828547026796206,0.6588564879663796,0.14719842199346705,187.33999999999978,23.559000000000253,27,0.03926701570680628,0.0,27,508.38580083847046,0.2587068169615809,1965.104,0
asr=faster-whisper_osd=energy_fallback_resolver=openai_sep=sepformer,R8009_M8020_MS810,faster-whisper,energy_fallback,openai,sepformer,zh,cuda,0.2074343339587242,0.20133677298311445,0.9786585365853658,,8528,7712,675,139,955,0.8461538461538461,0.9969,0.0023,2,4,0.5520361990950227,0.13913043478260873,221,0.055363128491616974,0.6256313131313002,0.10172449189077672,125.29999999999961,11.087999999999568,17,0.04072398190045249,0.0,17,427.1905052661896,0.22388876237190553,1908.048,0
asr=faster-whisper_osd=pyannote_resolver=none_sep=none,R8001_M8004_MS801,faster-whisper,pyannote,none,none,zh,cuda,0.6125991600559962,0.6363975734951003,0.8851143257116192,,10715,7408,2717,270,3577,0.6461988304093568,0.8918,0.0007,5,6,0.5497076023391813,0.6071428571428571,342,0.3811390629793588,0.7314118225896693,0.5011359396316896,456.3400000000008,237.79900000000018,342,0.0,0.3684210526315789,342,166.47166299819946,0.10606749653275428,1569.488,0
asr=faster-whisper_osd=pyannote_resolver=none_sep=none,R8003_M8001_MS801,faster-whisper,pyannote,none,none,zh,cuda,0.4331535066208926,0.40127513487003436,0.8355076017655714,,10195,9600,1741,1040,1635,0.7070217917675545,0.981,0.0,5,6,0.5375302663438256,0.5397590361445783,413,0.4394332833583195,0.6279931780394538,0.517058765418158,333.49999999999756,233.36399999999904,413,0.0,0.3414043583535109,413,191.25012755393982,0.09248071932008696,2068.0,0
asr=faster-whisper_osd=pyannote_resolver=none_sep=none,R8007_M8010_MS803,faster-whisper,pyannote,none,none,zh,cuda,0.6863305436483637,0.7726746955160917,0.8382663128529632,,14697,9148,4168,185,5734,0.5118110236220472,0.9578,0.0,5,4,0.5406824146981627,0.6880570409982175,381,0.6199266293444424,0.8087255850125129,0.7018510466622981,1046.74,802.3760000000019,381,0.0,0.5196850393700787,381,237.2614414691925,0.12795285385506056,1854.288,0
asr=faster-whisper_osd=pyannote_resolver=none_sep=none,R8007_M8011_MS806,faster-whisper,pyannote,none,none,zh,cuda,0.4511578387010913,0.4609173986336616,0.8348859905953332,,11271,9648,1992,735,2358,0.6428571428571429,0.9644,0.0122,5,6,0.5228571428571429,0.6263982102908277,350,0.4997854464971318,0.6500054339684707,0.5650823320323121,442.77999999999986,340.45100000000025,350,0.0,0.3914285714285714,350,202.1641972064972,0.10874690683790462,1859.034,0
asr=faster-whisper_osd=pyannote_resolver=none_sep=none,R8008_M8013_MS807,faster-whisper,pyannote,none,none,zh,cuda,0.6127697640612769,0.5883931566588393,0.9313429497931343,,8943,7406,3123,410,1947,0.5985130111524164,0.8307,0.0,4,3,0.5539033457249071,0.39999999999999997,538,0.2388175719262013,0.47799282136031906,0.31850287346432793,310.0399999999972,154.9039999999998,538,0.0,0.20817843866171004,538,178.46477007865906,0.0798325065550099,2235.49,0
asr=faster-whisper_osd=pyannote_resolver=none_sep=none,R8009_M8018_MS809,faster-whisper,pyannote,none,none,zh,cuda,0.45611097823487207,0.3613967950251136,0.817268596029658,,8362,9018,1630,1420,764,0.8112676056338028,0.962,0.0,3,3,0.5408450704225352,0.46204620462046203,355,0.31939810834050836,0.27284546396069814,0.29429217684785264,116.30000000000035,136.14299999999966,355,0.0,0.37464788732394366,355,172.96788239479065,0.10469501002038037,1652.112,0
asr=faster-whisper_osd=pyannote_resolver=none_sep=none,R8009_M8019_MS810,faster-whisper,pyannote,none,none,zh,cuda,0.3395820895522388,0.3392238805970149,0.9681194029850746,,8375,7185,1280,187,1377,0.8926701570680629,0.9872,0.0024,2,4,0.7696335078534031,0.24137931034482757,382,0.0828547026796206,0.6588564879663796,0.14719842199346705,187.33999999999978,23.559000000000253,382,0.0,0.04712041884816754,382,128.41311740875244,0.0653467284218812,1965.104,0
